1 0.841471
2 0.909297
3 0.141120
3 0.141120
3 0.141120
3 0.141120
4 -0.756802
4 -0.756802
4 -0.756802
5 -0.958924
5 -0.958924
5 -0.958924
6 -0.279415
6 -0.279415
6 -0.279415
7 0.656987
7 0.656987
8 0.989358
9 0.412118
10 -0.544021
10 -0.544021
11 -0.999990
12 -0.536573
12 -0.536573
13 0.420167
13 0.420167
13 0.420167
13 0.420167
14 0.990607
14 0.990607
15 0.650288
16 -0.287903
17 -0.961397
18 -0.750987
18 -0.750987
19 0.149877
20 0.912945
21 0.836656
22 -0.008851
23 -0.846220
24 -0.905578
25 -0.132352
25 -0.132352
25 -0.132352
26 0.762558
